Uniprot ID, Common Name, Degree
P92177,14-3-3epsilon,948
A0A0B4K774,Abi,210
A0A0B4KH51,Abi,210
Q9Y0S9,Abi,213
A1Z7Q8,alc,361
Q95SG9,alc,360
P13395,alpha-Spec,414
P06603,alphaTub84B,417
P06605,alphaTub84D,391
Q9VAS9,Apc,206
A0A126GV30,Apc,198
P18824,arm,742
A0A0B4KF17,ASPP,153
Q86BG1,ASPP,155
Q9W2J2,ASPP,156
Q24560,betaTub56D,240
P08841,betaTub60D,152
Q24040,Bgb,100
Q9VEX9,Bin1,171
Q24039,Bro,76
P92208,bsk,351
P62152,Cam,634
A0A0B4K775,cbs,63
A0A0B4K864,cbs,63
Q7K4K7,cbs,63
Q9W0R0,Cdc5,652
A1ZBK1,CG10051,32
Q9VP84,CG10581,214
Q7K1H9,CG10912,48
Q9VPK4,CG11454,61
Q9VMJ2,CG13996,70
Q9W3X0,CG14441,59
Q9VR43,CG15625,156
M9NCS3,CG18304,98
M9PCS5,CG18304,98
M9PCE3,CG18304,98
Q9VM67,CG18304,98
Q9VYP5,CG2750,79
M9PHE1,CG2750,77
Q7JUS1,CG30491,164
Q9VQ11,CG31928,40
Q9VFL0,CG3259,89
Q9VCY2,CG33107,24
Q9VJQ0,CG4168,48
A0A0C4DHG7,CG42404,63
Q9VFA8,CG42404,63
Q8IPU7,CG5059,490
Q8IPU8,CG5059,493
Q9VPD6,CG5059,494
Q8IQF8,CG6084,249
M9PF61,CG6084,249
M9PI17,CG6084,249
Q9VTK9,CG6084,250
Q7K2B0,CG7137,192
Q9VEF5,CG7379,136
Q9VHB8,CG8199,61
Q9V677,CG8858,340
Q9VP62,CG9389,85
P19538,ci,428
Q9VPR7,cold,330
Q24114,dally,389
Q1WWC9,Dap160,291
M9PDC7,Dap160,289
M9ND00,Dap160,289
M9PBF6,Dap160,289
Q8INU2,Dap160,292
Q9VIF7,Dap160,292
P13496,DCTN1-p150,201
Q9VEU2,Der-2,210
Q9VVT5,Dysb,208
Q7JZD3,Eb1,447
A1Z6P3,Eb1,451
Q9XZ57,Eb1,453
P41375,eIF-2beta,222
Q8WS79,ERR,101
Q9VSE9,ERR,99
P34082,Fas2,1384
P48462,flw,595
Q7K0S5,Gint3,88
Q9W1R3,Golgin245,50
Q8T0S6,hpo,345
Q960X8,Hrs,357
P18289,Jra,399
A0A0B4KFL3,Kat60,93
Q9VN89,Kat60,94
Q0KHS0,kat80,259
X2JKM9,kat80,255
Q9W401,kdn,188
Q9VNE2,kra,70
Q7KV70,kst,392
Q9VZQ3,kst,395
A8JNJ6,kst,392
M9PBL6,kst,392
Q7KV69,kst,392
Q86PC9,ktub,123
Q9V780,Lap1,112
Q9VXY7,Lsd-2,385
P42003,Mad,344
Q95RA8,mats,131
O97159,Mi-2,609
Q95U54,Mms19,210
Q9VB49,mrt,34
M9PH19,msn,393
Q7KV89,msn,399
M9PBJ7,msn,393
Q7KV90,msn,405
Q9W002,msn,399
Q7KV88,msn,402
Q9V397,Mtpalpha,428
Q8IPE8,Mtpalpha,429
P07207,N,812
Q24568,NetB,1840
Q9W3V9,Nf-YC,85
P20241,Nrg,259
A0A0B4KGQ3,Nrx-1,68
Q9VCZ9,Nrx-1,68
A0A0B4KGL0,Nrx-1,68
Q3KN41,Nrx-1,68
A0A0B4KH61,Nrx-1,68
Q94887,Nrx-IV,140
Q9W3N6,p115,221
Q7JXC4,P32,561
B7Z0W0,Pak,381
Q9VI13,Pak,381
M9MRD9,PAPLA1,904
X2JDJ3,PAPLA1,904
Q9VLS7,PAPLA1,908
A1ZAU8,Patronin,112
Q9VE91,PKD,87
A0A0B4KHC3,PKD,87
A0A0B4KGF0,PKD,87
Q8T6B9,pUf68,354
Q7PLE9,Rab21,38
Q7PLE8,Rab21,38
Q9VZJ3,Rcd5,287
Q94527,Rel,381
Q9VHC0,RnpS1,196
Q9VFE0,RpL10Aa,82
Q9W5R8,RpL5,254
Q9V3Z4,Rpn5,174
Q9VFE4,RpS5b,240
Q9VMV9,Rtnl1,498
E1JHT6,Rtnl1,497
E1JHT9,Rtnl1,497
Q7KTP4,Rtnl1,502
Q9VMW2,Rtnl1,497
Q9VMW4,Rtnl1,509
Q9VMW1,Rtnl1,497
A0A0B4K633,sals,298
A0A0B4LI42,sals,298
Q58CJ5,sals,298
Q9VGN5,sals,298
Q9VGN4,sals,301
Q9VRP5,scny,258
Q9VVG4,Sec3,78
Q24322,Sema-1a,343
Q24323,Sema-2a,166
Q5LJZ2,Set1,153
P18431,sgg,1502
E1JH64,shot,216
E1JH62,shot,216
E1JH63,shot,216
E1JH65,shot,216
B7YZG6,shot,216
B7YZG5,shot,216
B7YZG4,shot,216
B7YZG3,shot,216
A0A0B4K867,shot,216
A0A0B4K869,shot,216
A0A0B4K788,shot,216
A1Z9J1,shot,216
A1Z9J0,shot,216
A1Z9J3,shot,219
A1Z9J2,shot,216
A0A0B4K7Y9,shot,216
A0A0B4K7P8,shot,216
B7YZG2,shot,216
A0A0B4K718,shot,216
A1Z9I8,shot,216
A1Z9I9,shot,216
Q9VAQ1,Sirt7,760
Q7KTX8,skd,144
Q9VQF9,Snapin,130
Q00G30,Snoo,140
M9PCZ7,SoxN,415
Q9VLH8,SoxN,416
Q9VDK7,Srp72,230
Q9V5N8,stan,73
Q9VJ29,Tango6,43
O61307,Ten-m,1428
Q9W1H8,Thiolase,196
Q9XZ56,Thor,651
Q960X4,Tip60,340
Q9VBE0,TwdlB,64
Q9VBD2,TwdlD,41
Q9VMZ5,TwdlF,55
Q9VBD6,TwdlJ,73
Q9VBD5,TwdlN,39
Q9VBD8,TwdlO,28
Q24562,U2af50,336
P0CG69,Ubi-p63E,7602
Q9VSW1,UGP,105
Q9VSW2,UGP,105
A5XCL5,UGP,107
E1JI91,UGP,105
Q9W0L7,Usp10,935
M9PDK3,Usp10,932
P31409,Vha55,516
Q7KMH9,wde,185
M9PE03,zormin,107
Q9W053,zormin,109
M9PBJ1,zormin,107
Q0E8J4,zormin,107
Q0E8J5,zormin,107
Q0E8J3,zormin,108
